id_venta,id_cliente,id_producto,fecha,cantidad,canal
1,22,3,2023-01-08,1,tienda
2,11,2,2023-05-16,1,tienda
3,16,1,2023-05-18,2,domicilio
4,17,9,2023-02-05,1,app
5,12,9,2023-01-23,1,domicilio
6,8,4,2023-04-11,3,domicilio
7,8,9,2023-09-18,1,domicilio
8,12,3,2023-01-25,1,domicilio
9,5,5,2023-07-28,1,domicilio
10,5,10,2023-10-12,1,tienda
11,7,6,2023-07-05,1,domicilio
12,1,12,2023-05-17,1,app
13,22,3,2023-01-06,1,domicilio
14,15,3,2023-06-16,3,app
15,13,12,2023-12-19,1,tienda
17,13,9,2023-12-01,3,domicilio
18,19,1,2023-08-21,2,app
19,10,6,2023-10-06,1,domicilio
20,6,12,2023-05-25,1,app
21,19,4,2023-10-08,2,app
22,3,8,2023-06-19,3,tienda
23,5,8,2023-12-20,1,domicilio
25,10,11,2023-05-18,1,domicilio
26,9,6,2023-07-24,1,domicilio
27,19,7,2023-08-05,2,tienda
28,18,8,2023-06-12,1,tienda
29,22,4,2023-10-04,2,app
30,11,6,2023-08-03,3,tienda
31,3,1,2023-07-16,3,domicilio
32,7,2,2023-03-19,2,domicilio
33,19,11,2023-07-18,1,domicilio
34,3,12,2023-07-17,1,app
35,19,1,2023-07-29,3,tienda
36,6,2,2023-03-15,1,tienda
37,10,11,2023-11-22,1,tienda
38,19,7,2023-01-03,1,domicilio
39,12,11,2023-05-03,1,app
40,15,6,2023-11-08,3,app
41,12,1,2023-09-14,2,domicilio
43,3,10,2023-12-22,1,tienda
44,16,7,2023-11-09,2,tienda
45,11,7,2023-07-13,3,domicilio
46,6,7,2023-05-04,2,tienda
47,9,11,2023-04-12,1,tienda
48,9,11,2023-12-06,3,domicilio
49,18,4,2023-03-01,1,tienda
50,1,1,2023-02-14,1,tienda
51,6,5,2023-11-14,1,app
52,21,1,2023-01-18,1,tienda
53,9,5,2023-01-26,2,app
54,8,12,2023-07-27,1,tienda
55,1,7,2023-12-22,1,domicilio
56,7,4,2023-10-13,1,tienda
57,2,4,2023-06-16,1,tienda
58,13,6,2023-12-17,3,domicilio
59,15,4,2023-11-27,1,tienda
62,10,11,2023-12-09,1,tienda
63,17,5,2023-06-11,1,tienda
64,21,5,2023-08-22,2,tienda
65,4,8,2023-10-23,2,tienda
66,7,4,2023-01-01,1,app
67,8,10,2023-08-31,1,app
68,2,3,2023-11-28,2,app
69,5,8,2023-08-29,1,tienda
70,20,5,2023-09-19,1,tienda
71,2,3,2023-06-25,2,app
72,3,5,2023-10-31,1,domicilio
74,19,2,2023-07-14,3,app
75,11,6,2023-05-01,2,app
76,5,1,2023-11-19,2,tienda
77,1,8,2023-07-13,2,tienda
78,7,4,2023-07-01,1,app
79,9,3,2023-12-31,1,tienda
80,18,6,2023-02-02,1,tienda
81,21,11,2023-07-21,2,domicilio
82,1,10,2023-09-27,1,domicilio
83,21,10,2023-05-17,1,domicilio
84,11,8,2023-11-10,3,domicilio
85,1,4,2023-12-04,1,app
87,11,1,2023-06-14,1,domicilio
88,11,4,2023-02-06,1,domicilio
89,1,12,2023-11-18,1,tienda
90,21,6,2023-10-06,2,domicilio
91,16,1,2023-12-07,1,tienda
92,13,8,2023-04-25,1,tienda
93,20,3,2023-11-10,3,domicilio
94,22,7,2023-05-16,2,tienda
95,11,3,2023-05-15,1,tienda
96,6,5,2023-08-31,1,tienda
97,2,11,2023-06-28,1,tienda
99,2,2,2023-10-29,1,domicilio
100,3,3,2023-09-02,1,app
101,21,1,2023-10-20,1,app
102,20,3,2023-04-24,1,tienda
103,11,5,2023-03-14,2,domicilio
104,16,3,2023-02-03,3,domicilio
105,20,9,2023-09-28,2,domicilio
106,13,12,2023-07-06,2,tienda
107,9,6,2023-09-26,1,app
108,15,2,2023-04-15,3,app
109,1,3,2023-09-28,1,tienda
110,1,8,2023-03-28,1,tienda
111,11,11,2023-07-07,2,tienda
112,19,7,2023-05-03,2,domicilio
113,21,2,2023-12-11,2,tienda
114,11,7,2023-03-30,1,domicilio
115,2,6,2023-03-20,1,domicilio
116,14,11,2023-12-05,3,app
117,20,11,2023-08-24,2,domicilio
118,11,12,2023-04-01,1,tienda
119,6,7,2023-11-24,1,app
120,3,6,2023-11-30,1,tienda
121,1,1,2023-01-23,1,tienda
122,5,10,2023-06-14,1,app
123,7,4,2023-07-15,3,domicilio
124,5,4,2023-07-05,2,app
125,17,11,2023-08-08,1,tienda
126,3,12,2023-03-04,2,domicilio
127,12,1,2023-07-29,1,app
128,12,1,2023-03-20,1,domicilio
129,14,3,2023-12-26,1,tienda
130,12,9,2023-05-09,3,domicilio
131,18,10,2023-07-12,1,tienda
132,22,4,2023-02-22,1,domicilio
134,18,7,2023-07-02,2,tienda
135,5,12,2023-12-06,1,app
136,22,2,2023-09-25,1,domicilio
137,20,12,2023-09-24,2,domicilio
138,19,1,2023-06-04,2,app
139,11,1,2023-08-20,1,tienda
140,8,6,2023-12-06,1,app
141,20,2,2023-02-15,2,tienda
142,9,2,2023-05-21,2,app
143,16,2,2023-07-22,2,domicilio
144,2,8,2023-05-29,1,tienda
146,10,9,2023-12-22,2,app
148,18,1,2023-08-19,1,app
149,15,3,2023-11-21,1,tienda
150,18,4,2023-09-02,1,tienda
151,9,11,2023-03-31,1,domicilio
152,12,9,2023-09-22,1,domicilio
153,17,3,2023-03-18,1,app
155,9,12,2023-12-15,2,app
156,5,9,2023-03-08,1,domicilio
157,9,9,2023-07-07,1,tienda
158,1,2,2023-09-08,3,domicilio
159,18,9,2023-09-24,3,tienda
160,16,6,2023-12-05,1,app
161,4,8,2023-05-02,1,domicilio
162,21,2,2023-11-15,1,domicilio
163,12,6,2023-07-09,2,app
164,5,4,2023-09-25,3,tienda
165,21,4,2023-06-24,2,domicilio
166,8,12,2023-07-15,2,tienda
168,3,5,2023-01-10,1,domicilio
169,1,12,2023-10-12,1,domicilio
170,20,3,2023-04-13,1,tienda
